Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Jumlah Lantai,Price,Label
2,1,50,91,1,600000000,Low
2,1,67,67,2,600000000,Low
2,1,91,50,1,600000000,Low
7,1,91,91,1,600000000,Low
2,1,60,60,1,650000000,Low
2,2,70,70,1,650000000,Low
2,1,84,70,1,650000000,Low
2,1,90,50,1,650000000,Low
2,1,90,50,1,650000000,Low
3,2,50,65,2,650000000,Low
3,2,50,60,2,650000000,Low
3,2,50,60,2,675000000,Low
3,2,50,60,1,675000000,Low
3,2,50,60,2,675000000,Low
3,2,50,75,2,675000000,Low
3,2,50,70,2,675000000,Low
3,2,50,70,2,675000000,Low
3,2,50,70,1,675000000,Low
3,1,88,60,1,675000000,Low
3,1,88,60,1,675000000,Low
3,1,110,60,1,675000000,Low
3,2,54,75,2,680000000,Low
2,1,90,50,1,685000000,Low
2,1,90,50,1,685000000,Low
2,1,90,50,1,685000000,Low
3,2,57,114,2,690000000,Low
1,1,52,53,1,697000000,Low
2,1,52,53,1,697000000,Low
2,1,52,53,1,697000000,Low
2,1,52,53,1,697000000,Low
1,1,86,111,1,700000000,Low
3,2,72,72,2,700000000,Low
3,1,100,55,1,700000000,Low
3,1,100,55,1,700000000,Low
3,1,100,55,1,700000000,Low
3,1,100,60,1,700000000,Low
2,2,62,56,2,720000000,Low
3,2,57,60,2,720000000,Low
3,2,57,60,2,720000000,Low
3,2,57,60,2,720000000,Low
3,2,57,60,2,720000000,Low
2,1,90,66,1,750000000,Low
2,1,90,66,1,750000000,Low
2,1,91,77,1,750000000,Low
2,1,98,55,1,750000000,Low
2,1,100,100,1,750000000,Low
3,2,50,90,2,750000000,Low
3,2,58,80,2,750000000,Low
3,2,58,80,2,750000000,Low
3,2,58,80,1,750000000,Low
3,2,60,120,2,750000000,Low
3,1,84,74,1,750000000,Low
3,2,100,70,2,750000000,Low
3,2,100,70,2,750000000,Low
3,2,100,70,2,750000000,Low
5,2,108,108,2,750000000,Low
3,1,75,50,1,760000000,Low
3,2,50,57,2,770000000,Low
3,2,52,57,2,770000000,Low
2,1,100,50,1,785000000,Low
1,1,72,50,1,790000000,Low
2,2,72,86,1,800000000,Low
2,1,72,65,1,800000000,Low
3,1,100,95,1,800000000,Low
3,1,105,80,1,800000000,Low
